date,home_team,away_team,stadium,city,country,kickoff_time_local,timezone,group,is_placeholder_match,match_stage_status
2026-07-04,Winner Match 73,Winner Match 74,Lincoln Financial Field,Philadelphia,United States,15:00,UTC-4,Round of 16,True,Placeholder
2026-07-05,Winner Match 75,Winner Match 76,NRG Stadium,Houston,United States,18:00,UTC-5,Round of 16,True,Placeholder
2026-07-05,Winner Match 77,Winner Match 78,MetLife Stadium,East Rutherford,United States,20:00,UTC-4,Round of 16,True,Placeholder
2026-07-06,Winner Match 79,Winner Match 80,Estadio Azteca,Mexico City,Mexico,21:00,UTC-6,Round of 16,True,Placeholder
2026-07-06,Winner Match 81,Winner Match 82,AT&T Stadium,Arlington,United States,15:00,UTC-5,Round of 16,True,Placeholder
2026-07-07,Winner Match 83,Winner Match 84,Lumen Field,Seattle,United States,18:00,UTC-7,Round of 16,True,Placeholder
2026-07-07,Winner Match 85,Winner Match 86,Mercedes-Benz Stadium,Atlanta,United States,20:00,UTC-4,Round of 16,True,Placeholder
2026-07-08,Winner Match 87,Winner Match 88,BC Place,Vancouver,Canada,21:00,UTC-7,Round of 16,True,Placeholder
2026-07-09,Winner Match 89,Winner Match 90,Gillette Stadium,Foxborough,United States,15:00,UTC-4,Quarter-final,True,Placeholder
2026-07-10,Winner Match 91,Winner Match 92,SoFi Stadium,Inglewood,United States,18:00,UTC-7,Quarter-final,True,Placeholder
2026-07-11,Winner Match 93,Winner Match 94,Hard Rock Stadium,Miami Gardens,United States,20:00,UTC-4,Quarter-final,True,Placeholder
2026-07-11,Winner Match 95,Winner Match 96,GEHA Field at Arrowhead Stadium,Kansas City,United States,21:00,UTC-5,Quarter-final,True,Placeholder
2026-07-14,Winner Match 97,Winner Match 98,AT&T Stadium,Arlington,United States,15:00,UTC-5,Semi-final,True,Placeholder
2026-07-15,Winner Match 99,Winner Match 100,Mercedes-Benz Stadium,Atlanta,United States,18:00,UTC-4,Semi-final,True,Placeholder
2026-07-18,Loser Match 101,Loser Match 102,Hard Rock Stadium,Miami Gardens,United States,20:00,UTC-4,Third-place Playoff,True,Placeholder
2026-07-19,Winner Match 101,Winner Match 102,MetLife Stadium,East Rutherford,United States,21:00,UTC-4,Final,True,Placeholder
