match_id,match_date,competition,competition_stage,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds,num_bets_home,num_bets_draw,num_bets_away,odds_source,bookmaker,snapshot_type,source_match_url,official_result_url
2025-11-18_belarus_greece,2025-11-18,FIFA World Cup qualification,Qualifiers,Belarus,Greece,0.0,0.0,8.32,5.3,1.32,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-18_belarus_greece,2025-11-18,FIFA World Cup qualification,Qualifiers,Belarus,Greece,0.0,0.0,9.0,5.5,1.35,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-18_belgium_liechtenstein,2025-11-18,FIFA World Cup qualification,Qualifiers,Belgium,Liechtenstein,7.0,0.0,1.01,91.0,126.0,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-18_bulgaria_georgia,2025-11-18,FIFA World Cup qualification,Qualifiers,Bulgaria,Georgia,2.0,1.0,4.38,3.63,1.78,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-18_bulgaria_georgia,2025-11-18,FIFA World Cup qualification,Qualifiers,Bulgaria,Georgia,2.0,1.0,4.6,3.75,1.84,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-18_iraq_united_arab_emirates,2025-11-18,FIFA World Cup qualification,Qualifiers,Iraq,United Arab Emirates,2.0,1.0,2.38,2.78,3.27,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-18_iraq_united_arab_emirates,2025-11-18,FIFA World Cup qualification,Qualifiers,Iraq,United Arab Emirates,2.0,1.0,2.5,2.9,3.6,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-18_kosovo_switzerland,2025-11-18,FIFA World Cup qualification,Qualifiers,Kosovo,Switzerland,1.0,1.0,4.55,3.41,1.81,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-18_kosovo_switzerland,2025-11-18,FIFA World Cup qualification,Qualifiers,Kosovo,Switzerland,1.0,1.0,5.0,3.5,1.85,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-18_romania_san_marino,2025-11-18,FIFA World Cup qualification,Qualifiers,Romania,San Marino,7.0,1.0,1.01,21.53,59.82,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
