date,competition,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds,source_id,source_url,source_priority,home_implied_prob,draw_implied_prob,away_implied_prob,market_overround,bookmaker_margin,market_home_prob_norm,market_draw_prob_norm,market_away_prob_norm,market_prob_sum,odds_prob_diff,market_draw_prob,market_favorite,market_favorite_prob,has_market_odds,home_bet_count,draw_bet_count,away_bet_count,home_bet_share,draw_bet_share,away_bet_share,bet_volume_available,bet_volume_source,bet_volume_note,is_world_cup_match,is_future_match,quality_prob_sum_ok,quality_positive_odds,_source_row_id,reject_reason
2023-11-17,FIFA World Cup qualification,Liberia,Malawi,0.0,1.0,2.0,2.96,3.99,oddsportal:average,https://www.oddsportal.com,1,0.5,0.33783783783783783,0.2506265664160401,1.088464404253878,0.08846440425387803,0.4593627481486091,0.3103802352355467,0.23025701661584413,1.0,0.22910573153276498,0.3103802352355467,home_win,0.4593627481486091,1,,,,,,,False,,Not available in source data; not inferred or fabricated.,True,False,True,True,1626,
2023-11-17,FIFA World Cup qualification,Mali,Chad,3.0,1.0,1.04,13.25,40.9,oddsportal:average,https://www.oddsportal.com,1,0.9615384615384615,0.07547169811320754,0.02444987775061125,1.0614600374022802,0.06146003740228023,0.9058640246990761,0.07110178005185201,0.023034195249071868,1.0,0.8828298294500042,0.07110178005185201,home_win,0.9058640246990761,1,,,,,,,False,,Not available in source data; not inferred or fabricated.,True,False,True,True,1628,
2023-11-17,FIFA World Cup qualification,Tunisia,São Tomé and Príncipe,4.0,0.0,1.01,21.7,64.5,oddsportal:average,https://www.oddsportal.com,1,0.9900990099009901,0.04608294930875576,0.015503875968992248,1.0516858351787381,0.05168583517873815,0.9414399022810066,0.04381817056699616,0.014741927151997158,0.9999999999999999,0.9266979751290094,0.04381817056699616,home_win,0.9414399022810066,1,,,,,,,False,,Not available in source data; not inferred or fabricated.,True,False,True,True,1630,
2023-11-17,FIFA World Cup qualification,Zambia,Congo,4.0,2.0,1.43,3.93,7.89,oddsportal:average,https://www.oddsportal.com,1,0.6993006993006994,0.2544529262086514,0.1267427122940431,1.0804963378033938,0.08049633780339382,0.6472032110005573,0.23549633377373966,0.11730045522570304,1.0,0.5299027557748544,0.23549633377373966,home_win,0.6472032110005573,1,,,,,,,False,,Not available in source data; not inferred or fabricated.,True,False,True,True,1632,
2023-11-18,FIFA World Cup qualification,Niger,Tanzania,0.0,1.0,3.41,2.86,2.26,oddsportal:average,https://www.oddsportal.com,1,0.29325513196480935,0.3496503496503497,0.4424778761061947,1.0853833577213536,0.08538335772135364,0.27018576420820306,0.32214456501747296,0.40766967077432414,1.0000000000000002,-0.13748390656612108,0.32214456501747296,away_win,0.40766967077432414,1,,,,,,,False,,Not available in source data; not inferred or fabricated.,True,False,True,True,1600,
2023-11-18,FIFA World Cup qualification,Senegal,South Sudan,4.0,0.0,1.04,13.0,43.78,oddsportal:average,https://www.oddsportal.com,1,0.9615384615384615,0.07692307692307693,0.02284148012791229,1.0613030185894505,0.06130301858945053,0.9059980464546464,0.07247984371637173,0.02152210982898201,1.0000000000000002,0.8844759366256644,0.07247984371637173,home_win,0.9059980464546464,1,,,,,,,False,,Not available in source data; not inferred or fabricated.,True,False,True,True,1602,
2023-11-18,FIFA World Cup qualification,South Africa,Benin,2.0,1.0,1.59,3.54,5.77,oddsportal:average,https://www.oddsportal.com,1,0.6289308176100629,0.2824858757062147,0.1733102253032929,1.0847269186195705,0.08472691861957049,0.579805669808991,0.26042119067691966,0.15977313951408936,1.0,0.4200325302949016,0.26042119067691966,home_win,0.579805669808991,1,,,,,,,False,,Not available in source data; not inferred or fabricated.,True,False,True,True,1604,
2023-11-19,FIFA World Cup qualification,Burundi,Gabon,1.0,2.0,3.28,3.14,2.14,oddsportal:average,https://www.oddsportal.com,1,0.3048780487804878,0.3184713375796178,0.4672897196261682,1.090639105986274,0.0906391059862739,0.2795407271819619,0.29200432648306845,0.4284549463349696,1.0,-0.14891421915300773,0.29200432648306845,away_win,0.4284549463349696,1,,,,,,,False,,Not available in source data; not inferred or fabricated.,True,False,True,True,1590,
2023-11-19,FIFA World Cup qualification,Mozambique,Algeria,0.0,2.0,6.34,3.68,1.53,oddsportal:average,https://www.oddsportal.com,1,0.15772870662460567,0.2717391304347826,0.6535947712418301,1.0830626083012183,0.08306260830121825,0.14563212266371459,0.25089882002389957,0.603469057312386,1.0,-0.45783693464867137,0.25089882002389957,away_win,0.603469057312386,1,,,,,,,False,,Not available in source data; not inferred or fabricated.,True,False,True,True,1592,
2023-11-19,FIFA World Cup qualification,Sierra Leone,Egypt,0.0,2.0,14.31,4.89,1.24,oddsportal:average,https://www.oddsportal.com,1,0.06988120195667365,0.20449897750511248,0.8064516129032259,1.080831792365012,0.08083179236501192,0.06465502074449879,0.18920518340568052,0.7461397958498208,1.0,-0.681484775105322,0.18920518340568052,away_win,0.7461397958498208,1,,,,,,,False,,Not available in source data; not inferred or fabricated.,True,False,True,True,1594,
