date,home_team,away_team,country,neutral,home_confederation,away_confederation,host_confederation,is_home_country,is_away_country,is_home_confed,is_away_confed
1983-12-11,Honduras,Canada,Honduras,False,CONCACAF,CONCACAF,CONCACAF,True,False,True,True
1983-12-11,Singapore,Brunei,Singapore,False,AFC,UEFA,AFC,True,False,True,False
1983-12-12,Kenya,Ethiopia,Kenya,False,CAF,CAF,CAF,True,False,True,True
1983-12-13,Northern Ireland,Scotland,Northern Ireland,False,UEFA,UEFA,UEFA,True,False,True,True
1983-12-14,Greece,Luxembourg,Greece,False,UEFA,UEFA,UEFA,True,False,True,True
1983-12-14,Honduras,Canada,Honduras,False,CONCACAF,CONCACAF,CONCACAF,True,False,True,True
1983-12-14,Singapore,China,Singapore,False,AFC,AFC,AFC,True,False,True,True
1983-12-14,Wales,Yugoslavia,Wales,False,UEFA,UEFA,UEFA,True,False,True,True
1983-12-15,Ivory Coast,Mali,Ivory Coast,False,CAF,CAF,CAF,True,False,True,True
1983-12-16,Nigeria,Togo,Ivory Coast,True,CAF,CAF,CAF,False,False,True,True
1983-12-17,Netherlands,Malta,Netherlands,False,UEFA,UEFA,UEFA,True,False,True,True
1983-12-17,Singapore,Australia,Singapore,False,AFC,AFC,AFC,True,False,True,True
1983-12-18,Ivory Coast,Togo,Ivory Coast,False,CAF,CAF,CAF,True,False,True,True
1983-12-18,Mali,Nigeria,Ivory Coast,True,CAF,CAF,CAF,False,False,True,True
1983-12-20,Ivory Coast,Togo,Ivory Coast,False,CAF,CAF,CAF,True,False,True,True
1983-12-21,Spain,Malta,Spain,False,UEFA,UEFA,UEFA,True,False,True,True
1983-12-21,Yugoslavia,Bulgaria,Yugoslavia,False,UEFA,UEFA,UEFA,True,False,True,True
1983-12-22,Italy,Cyprus,Italy,False,UEFA,UEFA,UEFA,True,False,True,True
1984-01-02,Gambia,Senegal,Gambia,False,CAF,CAF,CAF,True,False,True,True
1984-01-02,Mauritania,Sierra Leone,Gambia,True,CAF,CAF,CAF,False,False,True,True
1984-01-04,Gambia,Sierra Leone,Gambia,False,CAF,CAF,CAF,True,False,True,True
1984-01-04,Mauritania,Senegal,Gambia,True,CAF,CAF,CAF,False,False,True,True
1984-01-08,Ivory Coast,Sierra Leone,Ivory Coast,False,CAF,CAF,CAF,True,False,True,True
1984-01-11,India,Poland,India,False,AFC,UEFA,AFC,True,False,True,False
1984-01-14,India,Argentina,India,False,AFC,CONMEBOL,AFC,True,False,True,False
1984-01-15,Ivory Coast,Morocco,Ivory Coast,False,CAF,CAF,CAF,True,False,True,True
1984-01-15,China,Poland,India,True,AFC,UEFA,AFC,False,False,True,False
1984-01-17,Argentina,Poland,India,True,CONMEBOL,UEFA,AFC,False,False,False,False
1984-01-17,Gambia,Guinea,Gambia,False,CAF,CAF,CAF,True,False,True,True
1984-01-18,Senegal,Guinea,Senegal,False,CAF,CAF,CAF,True,False,True,True
1984-01-18,Spain,Hungary,Spain,False,UEFA,UEFA,UEFA,True,False,True,True
1984-01-20,Argentina,China,India,True,CONMEBOL,AFC,AFC,False,False,False,True
1984-01-20,Egypt,Turkey,Egypt,False,CAF,UEFA,CAF,True,False,True,False
1984-01-22,Egypt,Turkey,Egypt,False,CAF,UEFA,CAF,True,False,True,False
1984-01-22,Ivory Coast,Guinea,Ivory Coast,False,CAF,CAF,CAF,True,False,True,True
1984-01-25,India,China,India,False,AFC,AFC,AFC,True,False,True,True
1984-01-27,China,Poland,India,True,AFC,UEFA,AFC,False,False,True,False
1984-01-29,Ivory Coast,Mali,Ivory Coast,False,CAF,CAF,CAF,True,False,True,True
1984-01-29,Liberia,Senegal,Ivory Coast,True,CAF,CAF,CAF,False,False,True,True
1984-01-29,Gambia,Ghana,Gambia,False,CAF,CAF,CAF,True,False,True,True
1984-01-31,Guinea,Ghana,Guinea,False,CAF,CAF,CAF,True,False,True,True
1984-01-31,Ivory Coast,Senegal,Ivory Coast,False,CAF,CAF,CAF,True,False,True,True
1984-01-31,Liberia,Mali,Ivory Coast,True,CAF,CAF,CAF,False,False,True,True
1984-02-02,Ivory Coast,Liberia,Ivory Coast,False,CAF,CAF,CAF,True,False,True,True
1984-02-02,Mali,Senegal,Ivory Coast,True,CAF,CAF,CAF,False,False,True,True
1984-02-04,Italy,Mexico,Italy,False,UEFA,CONCACAF,UEFA,True,False,True,False
1984-02-05,Ivory Coast,Senegal,Ivory Coast,False,CAF,CAF,CAF,True,False,True,True
1984-02-05,Liberia,Mali,Ivory Coast,True,CAF,CAF,CAF,False,False,True,True
1984-02-05,Morocco,Bulgaria,Morocco,False,CAF,UEFA,CAF,True,False,True,False
1984-02-07,Algeria,Romania,Algeria,False,CAF,UEFA,CAF,True,False,True,False
1984-02-08,Sierra Leone,Cape Verde,Sierra Leone,False,CAF,CAF,CAF,True,False,True,True
1984-02-08,Congo,Ivory Coast,Congo,False,CAF,CAF,CAF,True,False,True,True
1984-02-08,Gambia,Guinea,Sierra Leone,True,CAF,CAF,CAF,False,False,True,True
1984-02-09,Guinea-Bissau,Senegal,Sierra Leone,True,CAF,CAF,CAF,False,False,True,True
1984-02-09,Mali,Mauritania,Sierra Leone,True,CAF,CAF,CAF,False,False,True,True
1984-02-10,Cape Verde,Guinea,Sierra Leone,True,CAF,CAF,CAF,False,False,True,True
1984-02-10,Sierra Leone,Gambia,Sierra Leone,False,CAF,CAF,CAF,True,False,True,True
1984-02-11,Guinea-Bissau,Mauritania,Sierra Leone,True,CAF,CAF,CAF,False,False,True,True
1984-02-11,Mali,Senegal,Sierra Leone,True,CAF,CAF,CAF,False,False,True,True
1984-02-12,Cape Verde,Gambia,Sierra Leone,True,CAF,CAF,CAF,False,False,True,True
1984-02-12,Malawi,Zambia,Malawi,False,CAF,CAF,CAF,True,False,True,True
1984-02-12,Sierra Leone,Guinea,Sierra Leone,False,CAF,CAF,CAF,True,False,True,True
1984-02-13,Mauritania,Senegal,Sierra Leone,True,CAF,CAF,CAF,False,False,True,True
1984-02-13,Guinea-Bissau,Mali,Sierra Leone,True,CAF,CAF,CAF,False,False,True,True
1984-02-15,Bulgaria,Germany,Bulgaria,False,UEFA,UEFA,UEFA,True,False,True,True
1984-02-15,Gambia,Senegal,Sierra Leone,True,CAF,CAF,CAF,False,False,True,True
1984-02-15,Greece,German DR,Greece,False,UEFA,UEFA,UEFA,True,False,True,True
1984-02-15,Malawi,Zambia,Malawi,False,CAF,CAF,CAF,True,False,True,True
1984-02-15,Togo,Ghana,Togo,False,CAF,CAF,CAF,True,False,True,True
1984-02-16,Sierra Leone,Mali,Sierra Leone,False,CAF,CAF,CAF,True,False,True,True
1984-02-18,Gambia,Mali,Sierra Leone,True,CAF,CAF,CAF,False,False,True,True
1984-02-19,Gabon,Togo,Gabon,False,CAF,CAF,CAF,True,False,True,True
1984-02-19,Sierra Leone,Senegal,Sierra Leone,False,CAF,CAF,CAF,True,False,True,True
1984-02-21,Saudi Arabia,Algeria,Saudi Arabia,False,AFC,CAF,AFC,True,False,True,False
1984-02-26,Peru,Honduras,Peru,False,CONMEBOL,CONCACAF,CONMEBOL,True,False,True,False
